inn,name,revenue,site,source,cat_evidence,cat_product,employees,okved_main
4574170000,Компания_4574170000,150000000,www.company4574170000.ru,superjob.ru,Вакансия: Crowdin,Trados/Smartcat,50,62.01
8512528270,Компания_8512528270,150000000,www.company8512528270.ru,superjob.ru,Вакансия: Crowdin,Trados/Smartcat,50,62.01
8825976805,Компания_8825976805,150000000,www.company8825976805.ru,superjob.ru,Вакансия: Phrase,Trados/Smartcat,50,62.01
0387000000,Компания_0387000000,150000000,www.company0387000000.ru,superjob.ru,Вакансия: Phrase,Trados/Smartcat,50,62.01
2762043876,Компания_2762043876,150000000,www.company2762043876.ru,superjob.ru,"Вакансия: Phrase, технический писатель",Trados/Smartcat,50,62.01
8718503100,Компания_8718503100,150000000,www.company8718503100.ru,superjob.ru,Вакансия: translation memory,Trados/Smartcat,50,62.01
8442165645,Компания_8442165645,150000000,www.company8442165645.ru,superjob.ru,"Вакансия: локализация, переводчик",Trados/Smartcat,50,62.01
3817722064,Компания_3817722064,150000000,www.company3817722064.ru,superjob.ru,"Вакансия: локализация, переводчик",Trados/Smartcat,50,62.01
5668182246,Компания_5668182246,150000000,www.company5668182246.ru,superjob.ru,"Вакансия: локализация, переводчик",Trados/Smartcat,50,62.01
2996020000,Компания_2996020000,150000000,www.company2996020000.ru,superjob.ru,Вакансия: локализация,Trados/Smartcat,50,62.01
2760405920,Компания_2760405920,150000000,www.company2760405920.ru,superjob.ru,Вакансия: локализация,Trados/Smartcat,50,62.01
6699019223,Компания_6699019223,150000000,www.company6699019223.ru,superjob.ru,Вакансия: локализация,Trados/Smartcat,50,62.01
2237926577,Компания_2237926577,150000000,www.company2237926577.ru,superjob.ru,Вакансия: локализация,Trados/Smartcat,50,62.01
7636067233,Компания_7636067233,150000000,www.company7636067233.ru,superjob.ru,Вакансия: переводчик,Trados/Smartcat,50,62.01
8082702802,Компания_8082702802,150000000,www.company8082702802.ru,superjob.ru,Вакансия: переводчик,Trados/Smartcat,50,62.01
0472904200,Компания_0472904200,150000000,www.company0472904200.ru,superjob.ru,Вакансия: переводчик,Trados/Smartcat,50,62.01
2760405920,Компания_2760405920,150000000,www.company2760405920.ru,superjob.ru,Вакансия: переводчик,Trados/Smartcat,50,62.01
0240303561,Компания_0240303561,150000000,www.company0240303561.ru,superjob.ru,Вакансия: переводчик,Trados/Smartcat,50,62.01
0342068768,Компания_0342068768,150000000,www.company0342068768.ru,superjob.ru,Вакансия: переводчик,Trados/Smartcat,50,62.01
7538326780,Компания_7538326780,150000000,www.company7538326780.ru,superjob.ru,Вакансия: переводчик,Trados/Smartcat,50,62.01
9275523922,Компания_9275523922,150000000,www.company9275523922.ru,superjob.ru,Вакансия: переводчик,Trados/Smartcat,50,62.01
2750823649,Компания_2750823649,150000000,www.company2750823649.ru,superjob.ru,Вакансия: технический писатель,Trados/Smartcat,50,62.01
8471309562,Компания_8471309562,150000000,www.company8471309562.ru,superjob.ru,Вакансия: технический писатель,Trados/Smartcat,50,62.01
5858580508,Компания_5858580508,150000000,www.company5858580508.ru,superjob.ru,Вакансия: технический писатель,Trados/Smartcat,50,62.01
0226740321,Компания_0226740321,150000000,www.company0226740321.ru,superjob.ru,Вакансия: технический писатель,Trados/Smartcat,50,62.01
8702873695,Компания_8702873695,150000000,www.company8702873695.ru,superjob.ru,Вакансия: технический писатель,Trados/Smartcat,50,62.01
7748188241,Компания_7748188241,150000000,www.company7748188241.ru,superjob.ru,Вакансия: технический писатель,Trados/Smartcat,50,62.01
7012242600,Компания_7012242600,150000000,www.company7012242600.ru,superjob.ru,Вакансия: технический писатель,Trados/Smartcat,50,62.01
